País de Origem,País de Destino,Valor em US$,Quantidade em Litros
Brasil,Paraguai,38719031,29214770
Brasil,Rússia,25504484,39029799
Brasil,Estados Unidos da América,9684567,3563355
Brasil,China,4746525,2509458
Brasil,Reino Unido,4711464,1239551
Brasil,Espanha,3808552,1993000
Brasil,Holanda,3791611,1236154
Brasil,Alemanha,2546394,909051
Brasil,Japão,2377716,1181692
Brasil,Haiti,2327208,1791603
Brasil,Bélgica,1395226,402667
Brasil,Uruguai,1219878,792595
Brasil,Canadá,1097417,195491
Brasil,Suíça,906264,152894
Brasil,França,720359,317553
Brasil,Polônia,611080,154475
Brasil,Portugal,581419,419586
Brasil,Angola,576189,168868
Brasil,Finlândia,537432,86763
Brasil,Austrália,469248,274654
Brasil,Hong Kong,453894,149132
Brasil,Dinamarca,375575,78104
Brasil,Luxemburgo,369934,66541
Brasil,"Tcheca, República",356395,66529
Brasil,Suécia,348397,98535
Brasil,Curaçao,320683,191119
Brasil,Cuba,304612,271044
Brasil,Bolívia,290118,204421
Brasil,Taiwan,277050,76106
Brasil,Noruega,262452,34355
Brasil,Nigéria,258460,161641
Brasil,Argentina,221684,51012
Brasil,Panamá,162516,62156
Brasil,Emirados Árabes Unidos,144843,17312
Brasil,Antilhas Holandesas,142915,97002
Brasil,Itália,141298,25597
Brasil,Gana,139681,102178
Brasil,Irlanda,104717,16970
Brasil,Libéria,98667,26953
Brasil,Estônia,90830,30071
Brasil,Singapura,90610,27567
Brasil,Singapura,90610,8826
Brasil,Venezuela,88828,55515
Brasil,Colômbia,88017,43886
Brasil,"Marshall, Ilhas",87600,30353
Brasil,Guiné Equatorial,81903,20684
Brasil,Catar,81608,13339
Brasil,Bahamas,76628,14101
Brasil,Nova Zelândia,75209,14030
Brasil,Chile,70572,23205
Brasil,Peru,53789,24668
Brasil,Malta,50749,14222
Brasil,Cabo Verde,50363,12625
Brasil,Suriname,46390,27101
Brasil,México,43837,6326
Brasil,Guatemala,43189,20247
Brasil,Serra Leoa,41904,23884
Brasil,Benin,37765,15399
Brasil,Togo,35420,24367
Brasil,Quênia,33767,8311
Brasil,Filipinas,31397,14222
Brasil,Singapura,29780,27567
Brasil,Singapura,29780,8826
Brasil,Grécia,26256,9480
Brasil,Guiana,19890,6633
Brasil,Chipre,18096,6805
Brasil,Eslováquia,16063,585
Brasil,Coreia do Sul,15479,3965
Brasil,Vietnã,13013,9799
Brasil,Nova Caledônia,11924,7227
Brasil,Granada,7914,5610
Brasil,Antígua e Barbuda,7738,2104
Brasil,Camarões,7654,1749
Brasil,Tailândia,6872,2436
Brasil,Bahrein,5855,1771
Brasil,Áustria,5432,681
Brasil,Hungria,4686,627
Brasil,Trindade e Tobago,4320,891
Brasil,Equador,4037,3917
Brasil,Letônia,3723,387
Brasil,Gibraltar,2953,792
Brasil,"Dominica, Ilha de",2857,1945
Brasil,Barbados,2552,615
Brasil,Aruba,2435,1350
Brasil,São Tomé e Príncipe,2357,2184
Brasil,"Cayman, Ilhas",1962,425
Brasil,Moçambique,1927,383
Brasil,Turquia,1740,1236
Brasil,Bulgária,1610,122
Brasil,Índia,1390,318
Brasil,"Man, Ilha",1382,301
Brasil,Brasil,998,2535
Brasil,Namíbia,722,340
Brasil,Omã,670,194
Brasil,Honduras,610,176
Brasil,Croácia,607,55
Brasil,Congo,570,360
Brasil,Irã,412,184
Brasil,Costa Rica,200,55
Brasil,Malásia,143,63
Brasil,Bangladesh,133,12
Brasil,Montenegro,131,32
Brasil,África do Sul,116,30
Brasil,El Salvador,100,55
Brasil,São Vicente e Granadinas,99,28
Brasil,Guiné-Bissau,90,48
Brasil,Mauritânia,85,9
Brasil,"Cocos, Ilhas",60,26
Brasil,Bósnia-Herzegovina,52,45
Brasil,Jordânia,52,12
Brasil,Guiana Francesa,50,112
Brasil,Afeganistão,46,11
Brasil,Vanuatu,31,18
Brasil,Belize,29,9
Brasil,Comores,25,9
Brasil,Nicarágua,24,24
Brasil,Essuatíni,24,10
Brasil,Indonésia,6,5
Brasil,Tuvalu,4,2
